kommune_no,kommune_name,week,share,amount,total
1835,Træna,11,0.0164149030905159,4,244
1835,Træna,12,0.0164149030905159,4,244
1835,Træna,13,,,244
1835,Træna,14,,,244
1835,Træna,I alt,0.0410372577262897,10,244
1836,Rødøy,11,,,626
1836,Rødøy,12,0.0255755293335337,16,626
1836,Rødøy,13,0.006393882333383421,4,626
1836,Rødøy,14,,,626
1836,Rødøy,I alt,0.0399617645836464,25,626
1837,Meløy,11,0.00128726346131628,4,3107
1837,Meløy,12,0.0318597706675781,99,3107
1837,Meløy,13,0.014803529805137302,46,3107
1837,Meløy,14,0.0119071870171756,37,3107
1837,Meløy,I alt,0.0598577509512072,186,3107
1838,Gildeskål,11,,,959
1838,Gildeskål,12,0.0323159709698336,31,959
1838,Gildeskål,13,0.0104245067644624,10,959
1838,Gildeskål,14,,,959
1838,Gildeskål,I alt,0.046910280440081,45,959
1839,Beiarn,11,,,476
1839,Beiarn,12,0.0315418276176037,15,476
1839,Beiarn,13,0.0231306735862427,11,476
1839,Beiarn,14,,,476
1839,Beiarn,I alt,0.0609808667273672,29,476
1840,Saltdal,11,0.0038516630411105104,9,2337
1840,Saltdal,12,0.0492156944141899,115,2337
1840,Saltdal,13,0.00727536352209763,17,2337
1840,Saltdal,14,0.0029957379208637304,7,2337
1840,Saltdal,I alt,0.0633384588982617,148,2337
1841,Fauske,11,0.004228068455247,21,4967
1841,Fauske,12,0.057380929035495,285,4967
1841,Fauske,13,0.018522966565844,92,4967
1841,Fauske,14,0.00724811735185201,36,4967
1841,Fauske,I alt,0.0873800814084381,434,4967
1845,Sørfold,11,0.00549917072505466,5,909
1845,Sørfold,12,0.039594029220393595,36,909
1845,Sørfold,13,0.014297843885142101,13,909
1845,Sørfold,14,0.00989850730509839,9,909
1845,Sørfold,I alt,0.0692895511356887,63,909
1848,Steigen,11,,,1225
1848,Steigen,12,0.031828939851464996,39,1225
1848,Steigen,13,0.0130580266057292,16,1225
1848,Steigen,14,0.00408063331429038,5,1225
1848,Steigen,I alt,0.051415979760058794,63,1225
1851,Lødingen,11,0.00524726696100336,5,953
1851,Lødingen,12,0.0367308687270235,35,953
1851,Lødingen,13,0.0115439873142074,11,953
1851,Lødingen,14,0.008395627137605381,8,953
1851,Lødingen,I alt,0.0619177501398397,59,953
1853,Evenes,11,,,579
1853,Evenes,12,0.0655981080124636,38,579
1853,Evenes,13,0.025893990004919896,15,579
1853,Evenes,14,0.0138101280026239,8,579
1853,Evenes,I alt,0.107028492020335,62,579
1856,Røst,11,,,284
1856,Røst,12,0.0246738643853917,7,284
1856,Røst,13,,,284
1856,Røst,14,0.0140993510773667,4,284
1856,Røst,I alt,0.0493477287707833,14,284
1857,Værøy,11,,,380
1857,Værøy,12,0.0315557787834721,12,380
1857,Værøy,13,0.0447040199432522,17,380
1857,Værøy,14,0.0447040199432522,17,380
1857,Værøy,I alt,0.123593466901933,47,380
1859,Flakstad,11,,,656
1859,Flakstad,12,0.045746840037024394,30,656
1859,Flakstad,13,0.024398314686413,16,656
1859,Flakstad,14,0.00914936800740489,6,656
1859,Flakstad,I alt,0.08081941739874321,53,656
1860,Vestvågøy,11,0.00407988066349059,24,5883
1860,Vestvågøy,12,0.042668751939005795,251,5883
1860,Vestvågøy,13,0.023289318787425503,137,5883
1860,Vestvågøy,14,0.0078197712716903,46,5883
1860,Vestvågøy,I alt,0.0778577226616121,458,5883
1865,Vågan,11,0.010117985632063599,51,5041
1865,Vågan,12,0.0785631825548469,396,5041
1865,Vågan,13,0.0269812950188363,136,5041
1865,Vågan,14,0.00694371562984758,35,5041
1865,Vågan,I alt,0.12260617883559399,618,5041
1866,Hadsel,11,0.00453725654782836,18,3967
1866,Hadsel,12,0.041843588163305905,166,3967
1866,Hadsel,13,0.014872118684548501,59,3967
1866,Hadsel,14,0.0047893263560410395,19,3967
1866,Hadsel,I alt,0.0660422897517238,262,3967
1867,Bø,11,,,1147
1867,Bø,12,0.0296484134174767,34,1147
1867,Bø,13,0.0226723161427763,26,1147
1867,Bø,14,0.0052320729560253,6,1147
1867,Bø,I alt,0.0601688389942909,69,1147
1868,Øksnes,11,0.0039957325576284505,9,2252
1868,Øksnes,12,0.0390693850079226,88,2252
1868,Øksnes,13,0.015982930230513802,36,2252
1868,Øksnes,14,0.007991465115256911,18,2252
1868,Øksnes,I alt,0.06703951291132179,151,2252
1870,Sortland,11,0.00682911343341983,37,5418
1870,Sortland,12,0.07216711763424741,391,5418
1870,Sortland,13,0.022333046633616196,121,5418
1870,Sortland,14,0.00922853166678356,50,5418
1870,Sortland,I alt,0.110557809368067,599,5418
1871,Andøy,11,0.00171413829839205,4,2334
1871,Andøy,12,0.0432819920343993,101,2334
1871,Andøy,13,0.014141640961734401,33,2334
1871,Andøy,14,0.008570691491960259,20,2334
1871,Andøy,I alt,0.0677084627864861,158,2334
1874,Moskenes,11,,,536
1874,Moskenes,12,0.09144554884125419,49,536
1874,Moskenes,13,0.0335922424314812,18,536
1874,Moskenes,14,0.00746494276255137,4,536
1874,Moskenes,I alt,0.132502734035287,71,536
1875,Hamarøy,11,,4,
1875,Hamarøy,12,,34,
1875,Hamarøy,13,,24,
1875,Hamarøy,14,,,
1875,Hamarøy,I alt,,65,
3001,Halden,11,0.00331879447832803,48,14463
3001,Halden,12,0.0521327299304028,754,14463
3001,Halden,13,0.0188756435954907,273,14463
3001,Halden,14,0.00981810033172042,142,14463
3001,Halden,I alt,0.0841452683359419,1217,14463
3002,Moss,11,0.00556182548382088,132,23733
3002,Moss,12,0.0698177638385697,1657,23733
3002,Moss,13,0.022837192516900903,542,23733
3002,Moss,14,0.0104916253444803,249,23733
3002,Moss,I alt,0.108708407183772,2580,23733
3003,Sarpsborg,11,0.00598465151430691,159,26568
3003,Sarpsborg,12,0.0591690074244683,1572,26568
3003,Sarpsborg,13,0.0191584127093221,509,26568
3003,Sarpsborg,14,0.00858176443560991,228,26568
3003,Sarpsborg,I alt,0.09289383608370731,2468,26568
3004,Fredrikstad,11,0.00629292129591257,251,39886
3004,Fredrikstad,12,0.064985067725121,2592,39886
3004,Fredrikstad,13,0.020708976057465297,826,39886
3004,Fredrikstad,14,0.00829863326273729,331,39886
3004,Fredrikstad,I alt,0.100285598341236,4000,39886
3005,Drammen,11,0.00683873883946717,355,51910
3005,Drammen,12,0.0721824068492493,3747,51910
3005,Drammen,13,0.0264110167574915,1371,51910
3005,Drammen,14,0.012791331237764,664,51910
3005,Drammen,I alt,0.118223493683972,6137,51910
3006,Kongsberg,11,0.006261483490367589,89,14214
3006,Kongsberg,12,0.0520617728412586,740,14214
3006,Kongsberg,13,0.027086192626871,385,14214
3006,Kongsberg,14,0.00837209590285104,119,14214
3006,Kongsberg,I alt,0.0937815448613482,1333,14214
3007,Ringerike,11,0.00691374227752757,107,15476
3007,Ringerike,12,0.060091404842062,930,15476
3007,Ringerike,13,0.024747320488720203,383,15476
3007,Ringerike,14,0.00898140351940497,139,15476
3007,Ringerike,I alt,0.100733871127715,1559,15476
3011,Hvaler,11,0.00230614328898466,5,2168
3011,Hvaler,12,0.0558086675934288,121,2168
3011,Hvaler,13,0.017526688996283398,38,2168
3011,Hvaler,14,0.00553474389356318,12,2168
3011,Hvaler,I alt,0.0811762437722601,176,2168
3012,Aremark,11,,,659
3012,Aremark,12,0.0242707769227385,16,659
3012,Aremark,13,0.0212369298073962,14,659
3012,Aremark,14,0.0060676942306846305,4,659
3012,Aremark,I alt,0.0515754009608194,34,659
3013,Marker,11,0.00405289608374441,7,1727
3013,Marker,12,0.0387920053729822,67,1727
3013,Marker,13,0.0127376734060539,22,1727
3013,Marker,14,0.00405289608374441,7,1727
3013,Marker,I alt,0.0596354709465249,103,1727
3014,Indre,11,0.00640171674206717,142,22182
3014,Indre,12,0.0620786193931443,1377,22182
3014,Indre,13,0.0208281206678523,462,22182
3014,Indre,14,0.00937716255176036,208,22182
3014,Indre,I alt,0.0986856193548242,2189,22182
3015,Skiptvet,11,0.0035424455829752097,7,1976
3015,Skiptvet,12,0.0465578562333885,92,1976
3015,Skiptvet,13,0.016194036950743798,32,1976
3015,Skiptvet,14,0.009109145784793389,18,1976
3015,Skiptvet,I alt,0.07540348455190089,149,1976
3016,Rakkestad,11,0.00513580159958209,21,4089
3016,Rakkestad,12,0.054048197786078195,221,4089
3016,Rakkestad,13,0.0173639006462061,71,4089
3016,Rakkestad,14,0.00855966933263682,35,4089
3016,Rakkestad,I alt,0.0851075693645033,348,4089
3017,Råde,11,0.00608287306260493,23,3781
3017,Råde,12,0.0571261122401159,216,3781
3017,Råde,13,0.020628873864486297,78,3781
3017,Råde,14,0.00740523677186687,28,3781
3017,Råde,I alt,0.091243095939074,345,3781
3018,Våler,11,0.009081882250369329,27,2973
3018,Våler,12,0.0655913718082229,195,2973
3018,Våler,13,0.027918378769653904,83,2973
3018,Våler,14,0.0067273201854587605,20,2973
3018,Våler,I alt,0.10931895301370499,325,2973
3019,Vestby,11,0.00544852829802142,50,9177
3019,Vestby,12,0.0672348391975843,617,9177
3019,Vestby,13,0.0231017599836108,212,9177
3019,Vestby,14,0.0103522037662407,95,9177
3019,Vestby,I alt,0.106137331245457,974,9177
3020,Nordre,11,0.0054563733695058006,166,30423
3020,Nordre,12,0.0588039274581077,1789,30423
3020,Nordre,13,0.0257698597692322,784,30423
3020,Nordre,14,0.0104197009526105,317,30423
3020,Nordre,I alt,0.100449861549456,3056,30423
3021,Ås,11,0.00497147340938399,54,10862
3021,Ås,12,0.0495306054490479,538,10862
3021,Ås,13,0.0205303438943079,223,10862
3021,Ås,14,0.00837785333803598,91,10862
3021,Ås,I alt,0.0834102760907758,906,10862
3022,Frogn,11,0.00777436272698406,64,8232
3022,Frogn,12,0.0679041994435014,559,8232
3022,Frogn,13,0.0267243718740077,220,8232
3022,Frogn,14,0.010446799914384798,86,8232
3022,Frogn,I alt,0.112849733958878,929,8232
3023,Nesodden,11,0.006843973153244281,70,10228
3023,Nesodden,12,0.047712269982617295,488,10228
3023,Nesodden,13,0.0197497510993621,202,10228
3023,Nesodden,14,0.010168188684820102,104,10228
3023,Nesodden,I alt,0.0844741829200437,864,10228
3024,Bærum,11,0.00613923809934088,411,66946
3024,Bærum,12,0.0583750425601561,3908,66946
3024,Bærum,13,0.024601764354293,1647,66946
3024,Bærum,14,0.010949054809773399,733,66946
3024,Bærum,I alt,0.100065099823563,6699,66946
3025,Asker,11,0.00621047958769094,305,49111
3025,Asker,12,0.0617382757700949,3032,49111
3025,Asker,13,0.025086265088640102,1232,49111
3025,Asker,14,0.012095163524880099,594,49111
3025,Asker,I alt,0.105130183971306,5163,49111
3026,Aurskog-Høland,11,0.00523626122036081,47,8976
3026,Aurskog-Høland,12,0.0544793986543923,489,8976
3026,Aurskog-Høland,13,0.0215020939474391,193,8976
3026,Aurskog-Høland,14,0.00980406356152663,88,8976
3026,Aurskog-Høland,I alt,0.09102181738371881,817,8976
3027,Rælingen,11,0.010520556114592301,105,9980
3027,Rælingen,12,0.0798560306983816,797,9980
3027,Rælingen,13,0.031661864116296796,316,9980
3027,Rælingen,14,0.013326037745150201,133,9980
3027,Rælingen,I alt,0.135364488674421,1351,9980
3028,Enebakk,11,0.00665235216938321,39,5863
3028,Enebakk,12,0.0637943515730595,374,5863
3028,Enebakk,13,0.026097689279888,153,5863
3028,Enebakk,14,0.0107461073505421,63,5863
3028,Enebakk,I alt,0.107290500372873,629,5863
3029,Lørenskog,11,0.00836419353089375,182,21759
3029,Lørenskog,12,0.07045224551022039,1533,21759
3029,Lørenskog,13,0.028539363641126497,621,21759
3029,Lørenskog,14,0.012730118725590999,277,21759
