kommune_no,kommune_name,fylke_no,fylke_name,population_kommune
4635,Gulen,46,Vestland,2297
4636,Solund,46,Vestland,802
4637,Hyllestad,46,Vestland,1328
4638,Høyanger,46,Vestland,4101
4639,Vik,46,Vestland,2635
4640,Sogndal,46,Vestland,11847
4641,Aurland,46,Vestland,1781
4642,Lærdal,46,Vestland,2126
4643,Årdal,46,Vestland,5193
4644,Luster,46,Vestland,5174
4645,Askvoll,46,Vestland,3011
4646,Fjaler,46,Vestland,2802
4647,Sunnfjord,46,Vestland,22030
4648,Bremanger,46,Vestland,3629
4649,Stad,46,Vestland,9457
4650,Gloppen,46,Vestland,5854
4651,Stryn,46,Vestland,7130
5001,Trondheim,50,Trøndelag,205163
5006,Steinkjer,50,Trøndelag,24357
5007,Namsos,50,Trøndelag,15230
5014,Frøya,50,Trøndelag,5151
5020,Osen,50,Trøndelag,948
5021,Oppdal,50,Trøndelag,7001
5022,Rennebu,50,Trøndelag,2486
5025,Røros,50,Trøndelag,5581
5026,Holtålen,50,Trøndelag,1981
5027,Midtre Gauldal,50,Trøndelag,6238
5028,Melhus,50,Trøndelag,16733
5029,Skaun,50,Trøndelag,8325
5031,Malvik,50,Trøndelag,14148
5032,Selbu,50,Trøndelag,4062
5033,Tydal,50,Trøndelag,769
5034,Meråker,50,Trøndelag,2422
5035,Stjørdal,50,Trøndelag,24145
5036,Frosta,50,Trøndelag,2627
5037,Levanger,50,Trøndelag,20164
5038,Verdal,50,Trøndelag,14948
5041,Snåsa,50,Trøndelag,2063
5042,Lierne,50,Trøndelag,1355
5043,Røyrvik,50,Trøndelag,461
5044,Namsskogan,50,Trøndelag,843
5045,Grong,50,Trøndelag,2359
5046,Høylandet,50,Trøndelag,1231
5047,Overhalla,50,Trøndelag,3884
5049,Flatanger,50,Trøndelag,1103
5052,Leka,50,Trøndelag,557
5053,Inderøy,50,Trøndelag,6816
5054,Indre Fosen,50,Trøndelag,10084
5055,Heim,50,Trøndelag,5963
5056,Hitra,50,Trøndelag,5050
5057,Ørland,50,Trøndelag,10323
5058,Åfjord,50,Trøndelag,4288
5059,Orkland,50,Trøndelag,18217
5060,Nærøysund,50,Trøndelag,9623
5061,Rindal,50,Trøndelag,2003
5401,Tromsø,54,Troms og Finnmark,76974
5402,Harstad,54,Troms og Finnmark,24703
5403,Alta,54,Troms og Finnmark,20789
5404,Vardø,54,Troms og Finnmark,2029
5405,Vadsø,54,Troms og Finnmark,5788
5406,Hammerfest,54,Troms og Finnmark,11448
5411,Kvæfjord,54,Troms og Finnmark,2839
5412,Tjeldsund,54,Troms og Finnmark,4216
5413,Ibestad,54,Troms og Finnmark,1361
5414,Gratangen,54,Troms og Finnmark,1091
5415,Lavangen,54,Troms og Finnmark,1034
5416,Bardu,54,Troms og Finnmark,4005
5417,Salangen,54,Troms og Finnmark,2146
5418,Målselv,54,Troms og Finnmark,6640
5419,Sørreisa,54,Troms og Finnmark,3464
5420,Dyrøy,54,Troms og Finnmark,1083
5421,Senja,54,Troms og Finnmark,14851
5422,Balsfjord,54,Troms og Finnmark,5559
5423,Karlsøy,54,Troms og Finnmark,2200
5424,Lyngen,54,Troms og Finnmark,2794
5425,Storfjord,54,Troms og Finnmark,1829
5426,Kåfjord,54,Troms og Finnmark,2071
5427,Skjervøy,54,Troms og Finnmark,2927
5428,Nordreisa,54,Troms og Finnmark,4861
5429,Kvænangen,54,Troms og Finnmark,1191
5430,Kautokeino,54,Troms og Finnmark,2910
5432,Loppa,54,Troms og Finnmark,888
5433,Hasvik,54,Troms og Finnmark,1005
5434,Måsøy,54,Troms og Finnmark,1225
5435,Nordkapp,54,Troms og Finnmark,3162
5436,Porsanger,54,Troms og Finnmark,3998
5437,Kárájohka - Karasjok,54,Troms og Finnmark,2628
5438,Lebesby,54,Troms og Finnmark,1290
5439,Gamvik,54,Troms og Finnmark,1132
5440,Berlevåg,54,Troms og Finnmark,957
5441,Tana,54,Troms og Finnmark,2918
5442,Nesseby,54,Troms og Finnmark,926
5443,Båtsfjord,54,Troms og Finnmark,2221
5444,Sør-Varanger,54,Troms og Finnmark,10158
5001,Trondheim,50,Trøndelag Trööndelage,205163
9999,Ukjent Kommune,99,Ukjent Fylke,0
9998,Svalbard,99,Svalbard,0
