date,date_time,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-03-26,2020-03-26T04:00:00Z,3026,Aurskog-Høland,30,Viken,17390,2
2020-03-26,2020-03-26T04:00:00Z,3027,Rælingen,30,Viken,18530,8
2020-03-26,2020-03-26T04:00:00Z,3028,Enebakk,30,Viken,11110,16
2020-03-26,2020-03-26T04:00:00Z,3029,Lørenskog,30,Viken,41460,44
2020-03-26,2020-03-26T04:00:00Z,3030,Lillestrøm,30,Viken,85983,77
2020-03-26,2020-03-26T04:00:00Z,3031,Nittedal,30,Viken,24249,34
2020-03-26,2020-03-26T04:00:00Z,3032,Gjerdrum,30,Viken,6890,2
2020-03-26,2020-03-26T04:00:00Z,3033,Ullensaker,30,Viken,39625,26
2020-03-26,2020-03-26T04:00:00Z,3034,Nes,30,Viken,23092,7
2020-03-26,2020-03-26T04:00:00Z,3035,Eidsvoll,30,Viken,25436,20
2020-03-26,2020-03-26T04:00:00Z,3036,Nannestad,30,Viken,14139,8
2020-03-26,2020-03-26T04:00:00Z,3037,Hurdal,30,Viken,2854,1
2020-03-26,2020-03-26T04:00:00Z,3038,Hole,30,Viken,6799,7
2020-03-26,2020-03-26T04:00:00Z,3039,Flå,30,Viken,1050,1
2020-03-26,2020-03-26T04:00:00Z,3040,Nesbyen,30,Viken,3273,2
2020-03-26,2020-03-26T04:00:00Z,3041,Gol,30,Viken,4608,4
2020-03-26,2020-03-26T04:00:00Z,3042,Hemsedal,30,Viken,2486,7
2020-03-26,2020-03-26T04:00:00Z,3043,Ål,30,Viken,4674,5
2020-03-26,2020-03-26T04:00:00Z,3044,Hol,30,Viken,4441,24
2020-03-26,2020-03-26T04:00:00Z,3045,Sigdal,30,Viken,3467,0
2020-03-26,2020-03-26T04:00:00Z,3046,Krødsherad,30,Viken,2212,0
2020-03-26,2020-03-26T04:00:00Z,3047,Modum,30,Viken,14115,3
2020-03-26,2020-03-26T04:00:00Z,3048,Øvre Eiker,30,Viken,19423,2
2020-03-26,2020-03-26T04:00:00Z,3049,Lier,30,Viken,26811,13
2020-03-26,2020-03-26T04:00:00Z,3050,Flesberg,30,Viken,2688,1
2020-03-26,2020-03-26T04:00:00Z,3051,Rollag,30,Viken,1390,0
2020-03-26,2020-03-26T04:00:00Z,3052,Nore og Uvdal,30,Viken,2439,1
2020-03-26,2020-03-26T04:00:00Z,3053,Jevnaker,30,Viken,6852,5
2020-03-26,2020-03-26T04:00:00Z,3054,Lunner,30,Viken,9048,2
