date,date_time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-03-26,2020-03-26T04:00:00Z,1816,Vevelstad,,,1816,Vevelstad,18,Nordland,462,0
2020-03-26,2020-03-26T04:00:00Z,1818,Herøy (Nordland),,,1818,Herøy (Nordland),18,Nordland,1777,0
2020-03-26,2020-03-26T04:00:00Z,1820,Alstahaug,,,1820,Alstahaug,18,Nordland,7447,0
2020-03-26,2020-03-26T04:00:00Z,1822,Leirfjord,,,1822,Leirfjord,18,Nordland,2294,0
2020-03-26,2020-03-26T04:00:00Z,1824,Vefsn,,,1824,Vefsn,18,Nordland,13278,0
2020-03-26,2020-03-26T04:00:00Z,1825,Grane,,,1825,Grane,18,Nordland,1482,0
2020-03-26,2020-03-26T04:00:00Z,1826,Hattfjelldal,,,1826,Hattfjelldal,18,Nordland,1297,0
2020-03-26,2020-03-26T04:00:00Z,1827,Dønna,,,1827,Dønna,18,Nordland,1371,2
2020-03-26,2020-03-26T04:00:00Z,1828,Nesna,,,1828,Nesna,18,Nordland,1761,0
2020-03-26,2020-03-26T04:00:00Z,1832,Hemnes,,,1832,Hemnes,18,Nordland,4454,0
2020-03-26,2020-03-26T04:00:00Z,1833,Rana,,,1833,Rana,18,Nordland,26184,2
2020-03-26,2020-03-26T04:00:00Z,1834,Lurøy,,,1834,Lurøy,18,Nordland,1890,0
2020-03-26,2020-03-26T04:00:00Z,1835,Træna,,,1835,Træna,18,Nordland,435,0
2020-03-26,2020-03-26T04:00:00Z,1836,Rødøy,,,1836,Rødøy,18,Nordland,1213,0
2020-03-26,2020-03-26T04:00:00Z,1837,Meløy,,,1837,Meløy,18,Nordland,6288,1
2020-03-26,2020-03-26T04:00:00Z,1838,Gildeskål,,,1838,Gildeskål,18,Nordland,1950,0
2020-03-26,2020-03-26T04:00:00Z,1839,Beiarn,,,1839,Beiarn,18,Nordland,1017,0
2020-03-26,2020-03-26T04:00:00Z,1840,Saltdal,,,1840,Saltdal,18,Nordland,4671,0
2020-03-26,2020-03-26T04:00:00Z,1841,Fauske,,,1841,Fauske,18,Nordland,9739,0
2020-03-26,2020-03-26T04:00:00Z,1845,Sørfold,,,1845,Sørfold,18,Nordland,1926,0
2020-03-26,2020-03-26T04:00:00Z,1848,Steigen,,,1848,Steigen,18,Nordland,2608,1
2020-03-26,2020-03-26T04:00:00Z,1851,Lødingen,,,1851,Lødingen,18,Nordland,2034,0
2020-03-26,2020-03-26T04:00:00Z,1853,Evenes,,,1853,Evenes,18,Nordland,1348,0
2020-03-26,2020-03-26T04:00:00Z,1856,Røst,,,1856,Røst,18,Nordland,498,0
