date,date_time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-04-03,2020-04-03T17:00:00Z,1815,Vega,NA,NA,1815,Vega,18,Nordland,1200,3
2020-04-03,2020-04-03T17:00:00Z,1816,Vevelstad,NA,NA,1816,Vevelstad,18,Nordland,462,0
2020-04-03,2020-04-03T17:00:00Z,1818,Herøy (Nordland),NA,NA,1818,Herøy (Nordland),18,Nordland,1777,0
2020-04-03,2020-04-03T17:00:00Z,1820,Alstahaug,NA,NA,1820,Alstahaug,18,Nordland,7447,2
2020-04-03,2020-04-03T17:00:00Z,1822,Leirfjord,NA,NA,1822,Leirfjord,18,Nordland,2294,2
2020-04-03,2020-04-03T17:00:00Z,1824,Vefsn,NA,NA,1824,Vefsn,18,Nordland,13278,1
2020-04-03,2020-04-03T17:00:00Z,1825,Grane,NA,NA,1825,Grane,18,Nordland,1482,1
2020-04-03,2020-04-03T17:00:00Z,1826,Hattfjelldal,NA,NA,1826,Hattfjelldal,18,Nordland,1297,0
2020-04-03,2020-04-03T17:00:00Z,1827,Dønna,NA,NA,1827,Dønna,18,Nordland,1371,5
2020-04-03,2020-04-03T17:00:00Z,1828,Nesna,NA,NA,1828,Nesna,18,Nordland,1761,0
2020-04-03,2020-04-03T17:00:00Z,1832,Hemnes,NA,NA,1832,Hemnes,18,Nordland,4454,0
2020-04-03,2020-04-03T17:00:00Z,1833,Rana,NA,NA,1833,Rana,18,Nordland,26184,4
2020-04-03,2020-04-03T17:00:00Z,1834,Lurøy,NA,NA,1834,Lurøy,18,Nordland,1890,0
2020-04-03,2020-04-03T17:00:00Z,1835,Træna,NA,NA,1835,Træna,18,Nordland,435,0
2020-04-03,2020-04-03T17:00:00Z,1836,Rødøy,NA,NA,1836,Rødøy,18,Nordland,1213,0
2020-04-03,2020-04-03T17:00:00Z,1837,Meløy,NA,NA,1837,Meløy,18,Nordland,6288,4
2020-04-03,2020-04-03T17:00:00Z,1838,Gildeskål,NA,NA,1838,Gildeskål,18,Nordland,1950,0
2020-04-03,2020-04-03T17:00:00Z,1839,Beiarn,NA,NA,1839,Beiarn,18,Nordland,1017,0
2020-04-03,2020-04-03T17:00:00Z,1840,Saltdal,NA,NA,1840,Saltdal,18,Nordland,4671,0
2020-04-03,2020-04-03T17:00:00Z,1841,Fauske,NA,NA,1841,Fauske,18,Nordland,9739,1
2020-04-03,2020-04-03T17:00:00Z,1845,Sørfold,NA,NA,1845,Sørfold,18,Nordland,1926,0
2020-04-03,2020-04-03T17:00:00Z,1848,Steigen,NA,NA,1848,Steigen,18,Nordland,2608,1
2020-04-03,2020-04-03T17:00:00Z,1851,Lødingen,NA,NA,1851,Lødingen,18,Nordland,2034,0
2020-04-03,2020-04-03T17:00:00Z,1853,Evenes,NA,NA,1853,Evenes,18,Nordland,1348,0
2020-04-03,2020-04-03T17:00:00Z,1856,Røst,NA,NA,1856,Røst,18,Nordland,498,0
2020-04-03,2020-04-03T17:00:00Z,1857,Værøy,NA,NA,1857,Værøy,18,Nordland,728,0
2020-04-03,2020-04-03T17:00:00Z,1859,Flakstad,NA,NA,1859,Flakstad,18,Nordland,1272,1
2020-04-03,2020-04-03T17:00:00Z,1860,Vestvågøy,NA,NA,1860,Vestvågøy,18,Nordland,11433,3
2020-04-03,2020-04-03T17:00:00Z,1865,Vågan,NA,NA,1865,Vågan,18,Nordland,9608,3
2020-04-03,2020-04-03T17:00:00Z,1866,Hadsel,NA,NA,1866,Hadsel,18,Nordland,8061,4
2020-04-03,2020-04-03T17:00:00Z,1867,Bø,NA,NA,1867,Bø,18,Nordland,2569,0
2020-04-03,2020-04-03T17:00:00Z,1868,Øksnes,NA,NA,1868,Øksnes,18,Nordland,4410,0
2020-04-03,2020-04-03T17:00:00Z,1870,Sortland,NA,NA,1870,Sortland,18,Nordland,10566,3
2020-04-03,2020-04-03T17:00:00Z,1871,Andøy,NA,NA,1871,Andøy,18,Nordland,4663,0
2020-04-03,2020-04-03T17:00:00Z,1874,Moskenes,NA,NA,1874,Moskenes,18,Nordland,1015,0
2020-04-03,2020-04-03T17:00:00Z,1875,Hamarøy,NA,NA,1875,Hamarøy,18,Nordland,2766,0
2020-04-03,2020-04-03T17:00:00Z,3001,Halden,NA,NA,3001,Halden,30,Viken,31373,20
2020-04-03,2020-04-03T17:00:00Z,3002,Moss,NA,NA,3002,Moss,30,Viken,49273,64
2020-04-03,2020-04-03T17:00:00Z,3003,Sarpsborg,NA,NA,3003,Sarpsborg,30,Viken,56732,37
2020-04-03,2020-04-03T17:00:00Z,3004,Fredrikstad,NA,NA,3004,Fredrikstad,30,Viken,82385,56
2020-04-03,2020-04-03T17:00:00Z,3005,Drammen,NA,NA,3005,Drammen,30,Viken,101386,113
2020-04-03,2020-04-03T17:00:00Z,3006,Kongsberg,NA,NA,3006,Kongsberg,30,Viken,27723,18
2020-04-03,2020-04-03T17:00:00Z,3007,Ringerike,NA,NA,3007,Ringerike,30,Viken,30641,4
