organisation_number,company_name,Kommune,Fylke,n_employees
812692712,MODERNE UTEROM AS,Oslo,Oslo,6
812699202,UNIVERN SOLUTIONS AS,Sola,Rogaland,13
812722042,ERIKSHJÄLPEN SECOND HAND I TØNSBERG,Tønsberg,Vestfold og Telemark,7
812745522,ALVENES DENTAL,Hamar,Innlandet,3
812760432,IKM OFFSHORE SERVICE AS,Sola,Rogaland,8
812770772,H2 RØR AS,Randaberg,Rogaland,1
812771442,L.E.T.T. AS HAAKON VIIS GATE/ADMINISTRASJON,Oslo,Oslo,55
812771922,CORE SECURITY AS,Asker,Viken,2
812786172,ISS FACILITY SERVICES AS AVD 421037 HUNTONIT,Vennesla,Agder,1
812788582,DYNAMIC CHANGE AS,Gjerdrum,Viken,1
812792512,CONSULTING4YOU AS,Oslo,Oslo,1
812797522,ROSS OFFSHORE AS AVD OSLO,Oslo,Oslo,2
812801872,AUTOFIX MOSS AS,Moss,Viken,5
812803662,VALUE BOLIGSERVICE AS,Skien,Vestfold og Telemark,1
812808222,BERTHEUSSEN BLIKKENSLAGER AS AVD FINNSNES,Senja,Troms og Finnmark - Romsa ja Finnmárku,1
812813412,NR1 FITNESS LINDÅS AS,Alver,Vestland,16
812817922,SPECTRE ALLIANCE AS,Lillestrøm,Viken,9
812820362,AUSTEFJORDVEGEN 198 AS,Øygarden,Vestland,1
812820982,ALTIPROFIL AS,Bærum,Viken,1
812834142,FRESH FITNESS ØSTERÅS,Bærum,Viken,12
812834592,SANDETUN FOTTERAPI AS,Holmestrand,Vestfold og Telemark,1
812850032,BERGELAND EIENDOMSDRIFT AS,Stavanger,Rogaland,1
812850172,BOLIGKJØPSRÅDGIVER KROGSVEEN AS,Oslo,Oslo,1
812851632,ARENA PERSONAL AS AVD OSLO,Oslo,Oslo,4
812855212,SELBAK TANNLEGESENTER AS,Fredrikstad,Viken,3
812855662,HERLIG AS,Hol,Viken,3
812861972,CHRISTIANIA BELYSNING AS AVD SANDEFJORD,Sandefjord,Vestfold og Telemark,3
812869892,MOK AS,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,29
812869922,LILLE SAIGON 1 AS,Oslo,Oslo,16
812885952,BIALECKAS HJEMMEVASK,Kongsberg,Viken,1
812886452,RENHOLDSEKSPERTENE AS,Oslo,Oslo,3
812894102,BRØD & VANN AS AVDELING BAKERI,Halden,Viken,2
812901842,SMARTHOTEL OSLO AS,Oslo,Oslo,8
812909282,MORGENKAFFE AS,Oslo,Oslo,1
812962612,TEGNA AS AVD OSLO,Oslo,Oslo,2
812980742,CLUBASSIST AS,Nittedal,Viken,4
812990632,NORD NORSK KULDE AS,Alta,Troms og Finnmark - Romsa ja Finnmárku,1
813002442,KRISTIANSANDS TENNISKLUBB,Kristiansand,Agder,2
813014572,GLÅMDAL DYREKLINIKK AS,Kongsvinger,Innlandet,3
813015242,FLUIMIX AS,Asker,Viken,1
813023792,ØYELEGE ELISABETH BAKKE,Kristiansand,Agder,2
813045842,JERNIA EGGEDAL,Sigdal,Viken,5
813052202,LIONGATE AS,Sarpsborg,Viken,3
813058022,NIDAROS NAPRAPATI AS,Trondheim,Trøndelag - Trööndelage,2
813072262,RYGGE RØRLEGGERSERVICE AS,Moss,Viken,4
813073382,SYKEPLEIEKLINIKKEN SKARNES,Sør-Odal,Innlandet,1
813091542,ESPRESSO HOUSE NORGE AS AVD CONTINENTAL,Oslo,Oslo,26
